pID,Well,OD,Rep,Dilution,Samp,Plate,uID
2,A3,2.982,OD1,8e-04,std,Plate 13,121
2,B3,3.076,OD1,8e-04,std,Plate 13,121
3,A3,2.987,OD1,8e-04,std,Plate 14,121
3,B3,2.934,OD1,8e-04,std,Plate 14,121
4,A3,2.942,OD1,8e-04,std,Plate 15,121
4,B3,2.949,OD1,8e-04,std,Plate 15,121
5,A3,2.978,OD1,8e-04,std,Plate 16,121
5,B3,2.962,OD1,8e-04,std,Plate 16,121
6,A3,2.976,OD1,8e-04,std,Plate 17,121
6,B3,2.953,OD1,8e-04,std,Plate 17,121
7,A3,2.975,OD1,8e-04,std,Plate 18,121
7,B3,2.953,OD1,8e-04,std,Plate 18,121
1,A4,2.22,OD2,0.00032,std,Plate 12,121
1,B4,2.203,OD2,0.00032,std,Plate 12,121
2,A4,2.342,OD2,0.00032,std,Plate 13,121
2,B4,2.333,OD2,0.00032,std,Plate 13,121
3,A4,2.225,OD2,0.00032,std,Plate 14,121
3,B4,2.219,OD2,0.00032,std,Plate 14,121
4,A4,2.205,OD2,0.00032,std,Plate 15,121
4,B4,2.208,OD2,0.00032,std,Plate 15,121
5,A4,2.195,OD2,0.00032,std,Plate 16,121
5,B4,2.189,OD2,0.00032,std,Plate 16,121
6,A4,2.195,OD2,0.00032,std,Plate 17,121
6,B4,2.209,OD2,0.00032,std,Plate 17,121
7,A4,2.229,OD2,0.00032,std,Plate 18,121
7,B4,2.221,OD2,0.00032,std,Plate 18,121
1,A5,1.633,OD1,0.000128,std,Plate 12,121
1,B5,1.655,OD1,0.000128,std,Plate 12,121
2,A5,1.732,OD1,0.000128,std,Plate 13,121
2,B5,1.738,OD1,0.000128,std,Plate 13,121
3,A5,1.802,OD1,0.000128,std,Plate 14,121
3,B5,1.789,OD1,0.000128,std,Plate 14,121
4,A5,1.786,OD1,0.000128,std,Plate 15,121
4,B5,1.777,OD1,0.000128,std,Plate 15,121
5,A5,1.792,OD1,0.000128,std,Plate 16,121
5,B5,1.779,OD1,0.000128,std,Plate 16,121
6,A5,1.792,OD1,0.000128,std,Plate 17,121
6,B5,1.782,OD1,0.000128,std,Plate 17,121
7,A5,1.786,OD1,0.000128,std,Plate 18,121
7,B5,1.769,OD1,0.000128,std,Plate 18,121
1,A6,1.222,OD2,5.12e-05,std,Plate 12,121
1,B6,1.214,OD2,5.12e-05,std,Plate 12,121
2,A6,1.359,OD2,5.12e-05,std,Plate 13,121
2,B6,1.344,OD2,5.12e-05,std,Plate 13,121
3,A6,1.232,OD2,5.12e-05,std,Plate 14,121
3,B6,1.21,OD2,5.12e-05,std,Plate 14,121
4,A6,1.246,OD2,5.12e-05,std,Plate 15,121
4,B6,1.199,OD2,5.12e-05,std,Plate 15,121
5,A6,1.232,OD2,5.12e-05,std,Plate 16,121
5,B6,1.21,OD2,5.12e-05,std,Plate 16,121
6,A6,1.227,OD2,5.12e-05,std,Plate 17,121
6,B6,1.216,OD2,5.12e-05,std,Plate 17,121
7,A6,1.24,OD2,5.12e-05,std,Plate 18,121
7,B6,1.223,OD2,5.12e-05,std,Plate 18,121
1,A7,0.746,OD1,2.048e-05,std,Plate 12,121
1,B7,0.755,OD1,2.048e-05,std,Plate 12,121
2,A7,0.906,OD1,2.048e-05,std,Plate 13,121
2,B7,0.892,OD1,2.048e-05,std,Plate 13,121
3,A7,0.897,OD1,2.048e-05,std,Plate 14,121
3,B7,0.902,OD1,2.048e-05,std,Plate 14,121
4,A7,0.889,OD1,2.048e-05,std,Plate 15,121
4,B7,0.892,OD1,2.048e-05,std,Plate 15,121
5,A7,0.858,OD1,2.048e-05,std,Plate 16,121
5,B7,0.862,OD1,2.048e-05,std,Plate 16,121
6,A7,0.891,OD1,2.048e-05,std,Plate 17,121
6,B7,0.895,OD1,2.048e-05,std,Plate 17,121
7,A7,0.9,OD1,2.048e-05,std,Plate 18,121
7,B7,0.889,OD1,2.048e-05,std,Plate 18,121
1,A8,0.371,OD2,8.192e-06,std,Plate 12,121
1,B8,0.382,OD2,8.192e-06,std,Plate 12,121
2,A8,0.617,OD2,8.192e-06,std,Plate 13,121
2,B8,0.615,OD2,8.192e-06,std,Plate 13,121
3,A8,0.632,OD2,8.192e-06,std,Plate 14,121
3,B8,0.613,OD2,8.192e-06,std,Plate 14,121
4,A8,0.622,OD2,8.192e-06,std,Plate 15,121
4,B8,0.619,OD2,8.192e-06,std,Plate 15,121
5,A8,0.626,OD2,8.192e-06,std,Plate 16,121
5,B8,0.62,OD2,8.192e-06,std,Plate 16,121
6,A8,0.602,OD2,8.192e-06,std,Plate 17,121
6,B8,0.599,OD2,8.192e-06,std,Plate 17,121
7,A8,0.621,OD2,8.192e-06,std,Plate 18,121
7,B8,0.608,OD2,8.192e-06,std,Plate 18,121
1,A9,0.227,OD1,3.2768e-06,std,Plate 12,121
1,B9,0.234,OD1,3.2768e-06,std,Plate 12,121
2,A9,0.391,OD1,3.2768e-06,std,Plate 13,121
2,B9,0.332,OD1,3.2768e-06,std,Plate 13,121
3,A9,0.388,OD1,3.2768e-06,std,Plate 14,121
3,B9,0.375,OD1,3.2768e-06,std,Plate 14,121
4,A9,0.367,OD1,3.2768e-06,std,Plate 15,121
4,B9,0.355,OD1,3.2768e-06,std,Plate 15,121
5,A9,0.379,OD1,3.2768e-06,std,Plate 16,121
5,B9,0.358,OD1,3.2768e-06,std,Plate 16,121
6,A9,0.369,OD1,3.2768e-06,std,Plate 17,121
6,B9,0.372,OD1,3.2768e-06,std,Plate 17,121
7,A9,0.383,OD1,3.2768e-06,std,Plate 18,121
7,B9,0.381,OD1,3.2768e-06,std,Plate 18,121
1,A10,0.116,OD2,1.31072e-06,std,Plate 12,121
1,B10,0.121,OD2,1.31072e-06,std,Plate 12,121
2,A10,0.177,OD2,1.31072e-06,std,Plate 13,121
2,B10,0.165,OD2,1.31072e-06,std,Plate 13,121
3,A10,0.165,OD2,1.31072e-06,std,Plate 14,121
3,B10,0.159,OD2,1.31072e-06,std,Plate 14,121
4,A10,0.17,OD2,1.31072e-06,std,Plate 15,121
4,B10,0.161,OD2,1.31072e-06,std,Plate 15,121
5,A10,0.175,OD2,1.31072e-06,std,Plate 16,121
5,B10,0.165,OD2,1.31072e-06,std,Plate 16,121
6,A10,0.159,OD2,1.31072e-06,std,Plate 17,121
6,B10,0.157,OD2,1.31072e-06,std,Plate 17,121
7,A10,0.172,OD2,1.31072e-06,std,Plate 18,121
7,B10,0.155,OD2,1.31072e-06,std,Plate 18,121
1,A11,0.096,OD1,5.24288e-07,std,Plate 12,121
1,B11,0.098,OD1,5.24288e-07,std,Plate 12,121
2,A11,0.104,OD1,5.24288e-07,std,Plate 13,121
2,B11,0.108,OD1,5.24288e-07,std,Plate 13,121
3,A11,0.112,OD1,5.24288e-07,std,Plate 14,121
3,B11,0.115,OD1,5.24288e-07,std,Plate 14,121
4,A11,0.12,OD1,5.24288e-07,std,Plate 15,121
4,B11,0.118,OD1,5.24288e-07,std,Plate 15,121
5,A11,0.109,OD1,5.24288e-07,std,Plate 16,121
5,B11,0.113,OD1,5.24288e-07,std,Plate 16,121
6,A11,0.11,OD1,5.24288e-07,std,Plate 17,121
6,B11,0.108,OD1,5.24288e-07,std,Plate 17,121
7,A11,0.117,OD1,5.24288e-07,std,Plate 18,121
7,B11,0.11,OD1,5.24288e-07,std,Plate 18,121
1,A12,0.079,OD2,2.097152e-07,std,Plate 12,121
1,B12,0.073,OD2,2.097152e-07,std,Plate 12,121
2,A12,0.075,OD2,2.097152e-07,std,Plate 13,121
2,B12,0.074,OD2,2.097152e-07,std,Plate 13,121
3,A12,0.082,OD2,2.097152e-07,std,Plate 14,121
3,B12,0.08,OD2,2.097152e-07,std,Plate 14,121
4,A12,0.087,OD2,2.097152e-07,std,Plate 15,121
4,B12,0.083,OD2,2.097152e-07,std,Plate 15,121
5,A12,0.076,OD2,2.097152e-07,std,Plate 16,121
5,B12,0.081,OD2,2.097152e-07,std,Plate 16,121
6,A12,0.078,OD2,2.097152e-07,std,Plate 17,121
6,B12,0.083,OD2,2.097152e-07,std,Plate 17,121
7,A12,0.088,OD2,2.097152e-07,std,Plate 18,121
7,B12,0.079,OD2,2.097152e-07,std,Plate 18,121
